BATCH,PROG,WEEK,DATE,MON,DAY,YEAR,LOCATION,RM,SHORE,GEAR,Experimental_Net_ID,BPER,GPER,SET_SAMP,CLDCV,WINDD,WINDV,WAVEH,AIRT,TWTEMP,TCOND,TTDS,TSAL,TDOPERC,TDO,TPH,BWTEMP,BCOND,BTDS,BSAL,BDOPERC,BDO,BPH,AVG_DEPTH,Bottom Line Loc,COMMENTS,SURVEY,TVEL,BVEL,Secchi,Reviewed/Entered,First Check,Second Check,Third Check,Habitat,GPS Point
200617542,12,19,5/10/2006,5,10,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,,,,,,15.36,7565,,4.2,,7.86,7.69,14.6,8863,,4.96,,7.71,7.56,41.5,,,,,,,,,,,,
200617543,12,19,5/10/2006,5,10,2006,HAVERSTRAW BAY,39,,3,,1,1,1,,,,,,14.7,7256,,4.03,,8.37,7.69,14.71,9266,,5.19,,8.2,7.69,47,,running,,,,,,,,,,
200617544,12,19,5/10/2006,5,10,2006,HAVERSTRAW BAY,39,,3,,1,1,1,,,,,,14.7,7256,,4.03,,8.37,7.69,14.71,9266,,5.19,,8.2,7.69,43.5,,,,,,,,,,,,
200617545,12,19,5/10/2006,5,10,2006,HAV BAY - STONY POINT,39,3,3,,1,1,1,,,,,,14.91,8063,,4.5,,8.31,7.7,14.53,10562,,6,,8.02,7.57,64.5,,,,,,,,,,,,
200617546,12,19,5/10/2006,5,10,2006,HAV BAY - STONY POINT,39,3,3,,1,1,1,,,,,,14.91,8063,,4.5,,8.31,7.7,14.53,10562,,6,,8.02,7.57,54.5,,,,,,,,,,,,
200617547,12,19,5/10/2006,5,10,2006,HAV BAY - STONY POINT,39,1,3,,1,1,1,,,,,,14.91,8063,,4.5,,8.31,7.7,14.53,10562,,6,,8.02,7.57,52.5,,,,,,,,,,,,
200617548,12,19,5/10/2006,5,10,2006,HAV BAY - STONY POINT,39,1,3,,1,3,3,,,,,,14.91,8063,,4.5,,8.31,7.7,14.53,10562,,6,,8.02,7.57,60.5,,"HUNG REAL BAD, CUT NET TO GET A TREE OUT",,,,,,,,,,
200617549,12,19,5/11/2006,5,11,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,,,,,,14.66,9008,,5.07,,10.4,7.59,14.59,11540,,6.71,,8.7,7.56,49,,,,,,,,,,,,
200617550,12,19,5/10/2006,5,10,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,,,,,,14.66,9008,,5.07,,10.4,7.59,14.59,11540,,6.71,,8.7,7.56,59,,,,,,,,,,,,
200617551,12,19,5/10/2006,5,10,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,,,,,,14.66,9008,,5.07,,10.4,7.59,14.59,11540,,6.71,,8.7,7.56,64,,,,,,,,,,,,
200617552,12,19,5/10/2006,5,10,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,,,,,,14.66,9008,,5.07,,10.4,7.59,14.59,11540,,6.71,,8.7,7.56,53.5,,,,,,,,,,,,
200617553,12,19,5/10/2006,5,10,2006,HAV BAY - STONY POINT,39,3,3,,1,1,1,,,,,,14.93,9878,,5.59,,8.07,7.6,14.4,16308,,9.6,,6.87,7.53,51,,,,,,,,,,,,
200617554,12,19,5/10/2006,5,10,2006,HAV BAY - STONY POINT,39,1,3,,1,1,1,,,,,,14.93,9878,,5.59,,8.07,7.6,14.4,16308,,9.6,,6.87,7.53,46,,,,,,,,,,,,
200617555,12,19,5/10/2006,5,10,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,,,,,,14.93,9878,,5.59,,8.07,7.6,14.4,16308,,9.6,,6.87,7.53,70,,,,,,,,,,,,
200617556,12,19,5/10/2006,5,10,2006,HAVERSTRAW BAY,39,,3,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200617557,12,19,5/10/2006,5,10,2006,HAVERSTRAW BAY,39,,3,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200617558,12,20,5/15/2006,5,15,2006,HAVERSTRAW BAY,39,3,3,,1,1,1,6,1,5,1,,14.9,4633,,2.49,,7.53,7.55,14.97,6023,,3.28,,7.2,7.51,50.5,,low slack,,,,,,,,,,
200617559,12,20,5/15/2006,5,15,2006,HAVERSTRAW BAY,39,3,3,,1,1,1,6,1,5,1,,14.9,4633,,2.49,,7.53,7.55,14.97,6023,,3.28,,7.2,7.51,54.5,,low slack,,,,,,,,,,
200617560,12,20,5/15/2006,5,15,2006,HAVERSTRAW BAY,39,3,3,,1,1,1,6,1,5,1,,14.9,4633,,2.49,,7.53,7.55,14.97,6023,,3.28,,7.2,7.51,59.5,,low slack,,,,,,,,,,
200617561,12,20,5/15/2006,5,15,2006,HAVERSTRAW BAY,39,2,3,,1,1,1,6,1,5,1,,14.9,4633,,2.49,,7.53,7.55,14.97,6023,,3.28,,7.2,7.51,88.75,,net in deep hole in mid of channel,,,,,,,,,,
200617562,12,20,5/15/2006,5,15,2006,HAVERSTRAW BAY,39,3,3,,1,1,1,6,1,5,1,,14.9,4633,,2.49,,7.53,7.55,14.97,6023,,3.28,,7.2,7.51,54,,running tide,,,,,,,,,,
200617563,12,20,5/15/2006,5,15,2006,HAVERSTRAW BAY,39,3,3,,1,1,1,6,1,5,1,,14.9,4633,,2.49,,7.53,7.55,14.97,6023,,3.28,,7.2,7.51,57.5,,high slack,,,,,,,,,,
200617564,12,20,5/16/2006,5,16,2006,HAV BAY - STONY POINT,39,3,3,,1,1,1,6,0,0,1,,14.83,3701,,1.96,,8.85,7.53,14.82,3890,,2.08,,8.33,7.52,57.5,,low slack,,,,,,,,,,
200617565,12,20,5/16/2006,5,16,2006,HAV BAY - STONY POINT,39,3,3,,1,1,1,6,0,0,1,,14.83,3701,,1.96,,8.85,7.53,14.82,3890,,2.08,,8.33,7.52,63.5,,low slack,,,,,,,,,,
200617566,12,20,5/16/2006,5,16,2006,HAV BAY - STONY POINT,39,3,3,,1,1,1,6,0,0,1,,14.83,3701,,1.96,,8.85,7.53,14.82,3890,,2.08,,8.33,7.52,54.5,,low slack,,,,,,,,,,
200617567,12,20,5/16/2006,5,16,2006,HAV BAY - STONY POINT,39,2,3,,1,1,1,6,0,0,1,,14.83,3701,,1.96,,8.85,7.53,14.82,3890,,2.08,,8.33,7.52,80.5,,set for low slack and let fish through flood,,,,,,,,,,
200617568,12,20,5/16/2006,5,16,2006,HAV BAY - STONY POINT,39,3,3,,1,1,1,6,0,0,1,,14.83,3701,,1.96,,8.85,7.53,14.82,3890,,2.08,,8.33,7.52,,,set for running flood and picked at slack,,,,,,,,,,
200617569,12,20,5/16/2006,5,16,2006,HAV BAY - STONY POINT,39,1,3,,1,1,1,6,0,0,1,,14.83,3701,,1.96,,8.85,7.53,14.82,3890,,2.08,,8.33,7.52,,,set for running flood and picked at slack,,,,,,,,,,
200617570,12,20,5/17/2006,5,17,2006,HAV BAY - STONY POINT,39,3,3,,1,1,1,4,5,10,2,,14.83,1972,,1.01,,9.44,7.63,14.71,2180,,1.12,,8.85,7.51,58,,set for low slack,,,,,,,,,,
200617571,12,20,5/17/2006,5,17,2006,HAV BAY - STONY POINT,39,1,3,,1,1,1,4,5,10,2,,14.83,1972,,1.01,,9.44,7.63,14.71,2180,,1.12,,8.85,7.51,52.5,,set for low slack and let fish through flood,,,,,,,,,,
200617572,12,20,5/17/2006,5,17,2006,HAV BAY - STONY POINT,39,3,3,,1,1,1,4,5,10,2,,14.83,1972,,1.01,,9.44,7.63,14.71,2180,,1.12,,8.85,7.51,53.5,,set for low slack,,,,,,,,,,
200617573,12,20,5/17/2006,5,17,2006,HAV BAY - STONY POINT,39,2,3,,1,1,1,4,5,10,2,,14.83,1972,,1.01,,9.44,7.63,14.71,2180,,1.12,,8.85,7.51,86,,"set for low slack and let fish through flood, usfws net-rings on lead, dark colored mesh",,,,,,,,,,
200617574,12,20,5/17/2006,5,17,2006,HAV BAY - STONY POINT,39,3,3,,1,1,1,4,5,10,2,,15.1,2399,,1.24,,9.28,7.57,15.38,3020,,1.6,,8.5,7.51,38.5,,set for running flood and picked at slack,,,,,,,,,,
200617575,12,20,5/17/2006,5,17,2006,HAV BAY - STONY POINT,39,3,3,,1,1,1,4,5,10,2,,15.1,2399,,1.24,,9.28,7.57,15.38,3020,,1.6,,8.5,7.51,26.5,,set for running flood and picked at slack,,,,,,,,,,
200617576,12,20,5/19/2006,5,19,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,6,0,0,1,,15.01,387,,0.19,,7.68,7.56,14.93,415,,0.2,,7.32,7.5,50.5,,SET FOR RUNNING FLOOD TIDE,,,,,,,,,,
200617577,12,20,5/19/2006,5,19,2006,HAV BAY - STONY POINT,39,1,3,,1,1,1,6,0,0,1,,15.01,387,,0.19,,7.68,7.56,14.93,415,,0.2,,7.32,7.5,62,,SET FOR RUNNING FLOOD TIDE,,,,,,,,,,
200617578,12,20,5/19/2006,5,19,2006,HAV BAY - STONY POINT,39,3,3,,1,1,1,6,0,0,1,,15.01,387,,0.19,,7.68,7.56,14.93,415,,0.2,,7.32,7.5,29,,SET FOR RUNNING FLOOD TIDE,,,,,,,,,,
200617579,12,20,5/19/2006,5,19,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,6,0,0,1,,,,,,,,,,,,,,,,87.5,,THROUGH RUNNING FLOOD,,,,,,,,,,
200617580,12,20,5/19/2006,5,19,2006,HAV BAY - STONY POINT,39,1,3,,1,1,1,6,0,0,1,,15.01,387,,0.79,,7.68,7.56,14.93,415,,0.2,,7.32,7.5,50,,THROUGH RUNNING FLOOD,,,,,,,,,,
200617581,12,21,5/22/2006,5,22,2006,HAV BAY - STONY POINT,39,1,3,,1,1,1,1,1,10,1,,16.14,215,,0.1,,10.06,7.59,15.7,213,,0.1,,11.48,7.64,68.5,,THROUGH RUNNING FLOOD,,,,,,,,,,
200617582,12,21,5/22/2006,5,22,2006,HAV BAY - STONY POINT,39,1,3,,1,1,1,1,1,10,1,,16.14,215,,0.1,,10.06,7.59,15.7,213,,0.1,,11.48,7.64,61,,"RUNNING FLOOD, NET GOT HUNG",,,,,,,,,,
200617583,12,21,5/22/2006,5,22,2006,HAV BAY - STONY POINT,39,1,3,,1,1,1,1,1,10,1,,16.14,215,,0.1,,10.06,7.59,15.7,213,,0.1,,11.48,7.64,53,,RUNNING FLOOD,,,,,,,,,,
200617584,12,21,5/22/2006,5,22,2006,HAV BAY - STONY POINT,39,2,3,,1,1,1,1,1,10,1,,16.14,215,,0.1,,10.06,7.59,15.7,213,,0.1,,11.48,7.64,82,,RUNNING FLOOD,,,,,,,,,,
200617585,12,21,5/23/2006,5,23,2006,HAV BAY - STONY POINT,39,3,3,,1,1,1,,8,15,2,,15.75,230,,0.11,,8.07,7.7,15.67,228,,0.11,,7.86,7.64,50,,RUNNING FLOOD,,,,,,,,,,
200617586,12,21,5/23/2006,5,23,2006,HAV BAY - STONY POINT,39,1,3,,1,1,1,,8,15,2,,15.75,230,,0.11,,8.07,7.7,15.67,228,,0.11,,7.86,7.64,57.5,,RUNNING FLOOD,,,,,,,,,,
200617587,12,21,5/23/2006,5,23,2006,HAV BAY - STONY POINT,39,3,3,,1,1,1,,8,15,2,,15.75,230,,0.11,,8.07,7.7,15.67,228,,0.11,,7.86,7.64,91,,RUNNING FLOOD,,,,,,,,,,
200617588,12,21,5/24/2006,5,24,2006,HAV BAY - STONY POINT,39,3,3,,1,1,1,1,0,0,1,,15.8,215,,0.1,,9.32,7.72,15.78,213,,0.1,,8.39,7.64,25.5,,RUNNING FLOOD,,,,,,,,,,
200617589,12,21,5/24/2006,5,24,2006,HAV BAY - STONY POINT,39,1,3,,1,1,1,1,0,0,1,,15.8,215,,0.1,,9.32,7.72,15.78,213,,0.1,,8.39,7.64,12.5,,RUNNING FLOOD,,,,,,,,,,
200617590,12,21,5/24/2006,5,24,2006,HAV BAY - STONY POINT,39,1,3,,1,1,1,1,0,0,1,,15.8,215,,0.1,,9.32,7.72,15.78,213,,0.1,,8.39,7.64,36.5,,RUNNING FLOOD,,,,,,,,,,
200617591,12,21,5/24/2006,5,24,2006,HAV BAY - STONY POINT,39,2,3,,1,1,1,1,0,0,1,,15.8,215,,0.1,,9.32,7.72,15.78,213,,0.1,,8.39,7.64,99,,RUNNING FLOOD,,,,,,,,,,
200617592,12,21,5/25/2006,5,25,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,,,,,,15.9,209,,0.1,,8.7,7.61,15.9,211,,0.1,,9.1,7.65,30,,,,,,,,,,,,
200617593,12,21,5/25/2006,5,25,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,,,,,,15.9,209,,0.1,,8.7,7.61,15.9,211,,0.1,,9.1,7.65,65,,,,,,,,,,,,
200617594,12,21,5/25/2006,5,25,2006,HAVERSTRAW BAY,39,,3,,1,1,1,,,,,,15.9,209,,0.1,,8.7,7.61,15.9,211,,0.1,,9.1,7.65,33,,,,,,,,,,,,
200617595,12,21,5/25/2006,5,25,2006,JONES POINT,39,3,3,,1,1,1,,,,,,15.9,209,,0.1,,8.7,7.61,15.9,211,,0.1,,9.1,7.65,65,,RUNNING FLOOD,,,,,,,,,,
200617596,12,21,5/25/2006,5,25,2006,JONES POINT,39,1,3,,1,1,1,,,,,,15.9,209,,0.1,,8.7,7.61,15.9,211,,0.1,,9.1,7.65,59,,RUNNING FLOOD,,,,,,,,,,
200617597,12,21,5/25/2006,5,25,2006,JONES POINT,39,,3,,1,1,1,,,,,,16.4,212,,0.1,,9.6,7.7,16.09,211,,0.1,,8.94,7.58,33,,,,,,,,,,,,
200617598,12,21,5/25/2006,5,25,2006,JONES POINT,39,,3,,1,1,1,,,,,,16.4,212,,0.1,,9.6,7.7,16.09,211,,0.1,,8.94,7.58,47,,,,,,,,,,,,
200617599,12,22,5/30/2006,5,30,2006,JONES POINT,39,3,3,,1,1,1,1,0,0,1,,17.06,229,,0.11,,8.4,7.79,17.04,230,,0.11,,7.96,7.68,81,,LET SIT THROUGH RUNNING FLOOD ALSO,,,,,,,,,,
200617600,12,22,5/30/2006,5,30,2006,JONES POINT,39,3,3,,1,1,1,1,0,0,1,,17.06,229,,0.11,,8.4,7.79,17.04,230,,0.11,,7.96,7.68,72.5,,,,,,,,,,,,
200617601,12,22,5/30/2006,5,30,2006,JONES POINT,39,3,3,,1,1,1,1,0,0,1,,17.06,229,,0.11,,8.4,7.79,17.04,230,,0.11,,7.96,7.68,81,,LET SIT THROUGH RUNNING FLOOD ALSO,,,,,,,,,,
200617602,12,22,5/30/2006,5,30,2006,JONES POINT,39,3,3,,1,1,1,1,0,0,1,,17.06,229,,0.11,,8.4,7.79,17.04,230,,0.11,,7.96,7.68,73,,,,,,,,,,,,
200617603,12,22,5/30/2006,5,30,2006,JONES POINT,39,,3,,1,1,1,1,0,0,1,,17.06,229,,0.11,,8.4,7.79,17.04,230,,0.11,,7.96,7.68,21.5,,RUNNING FLOOD,,,,,,,,,,
200617604,12,22,5/30/2006,5,30,2006,JONES POINT,39,,3,,1,1,1,1,0,0,1,,17.06,229,,0.11,,8.4,7.79,17.04,230,,0.11,,7.96,7.68,20.5,,,,,,,,,,,,
200617605,12,22,5/31/2006,5,31,2006,JONES POINT,39,3,3,,1,1,1,,,,,,18.01,231,,0.11,,7.28,7.76,17.89,231,,0.11,,7.05,7.61,76,,,,,,,,,,,,
200617606,12,22,5/31/2006,5,31,2006,JONES POINT,39,3,3,,1,1,1,,,,,,18.01,231,,0.11,,7.28,7.76,17.89,231,,0.11,,7.05,7.61,68.5,,,,,,,,,,,,
200617607,12,22,5/31/2006,5,31,2006,JONES POINT,39,3,3,,1,1,1,,,,,,18.01,231,,0.11,,7.28,7.76,17.89,231,,0.11,,7.05,7.61,82.5,,,,,,,,,,,,
200617608,12,22,5/31/2006,5,31,2006,JONES POINT,39,3,3,,1,1,1,,,,,,18.01,231,,0.11,,7.28,7.76,17.89,231,,0.11,,7.05,7.61,71,,,,,,,,,,,,
200617609,12,22,5/31/2006,5,31,2006,JONES POINT,39,,3,,1,1,1,,,,,,18.01,231,,0.11,,7.28,7.76,17.89,231,,0.11,,7.05,7.61,,,,,,,,,,,,,
200617610,12,22,5/31/2006,5,31,2006,JONES POINT,39,,3,,1,1,1,,,,,,18.01,231,,0.11,,7.28,7.76,17.89,231,,0.11,,7.05,7.61,,,,,,,,,,,,,
200617611,12,22,5/31/2006,5,31,2006,JONES POINT,39,,3,,1,1,1,,,,,,18.01,231,,0.11,,7.28,7.76,17.89,231,,0.11,,7.05,7.61,,,,,,,,,,,,,
200617612,12,22,6/1/2006,6,1,2006,INDIAN POINT,39,,3,,1,1,1,,,,,,20.03,238,,0.11,,8.06,7.58,18.06,365,,0.18,,7.69,7.46,31.5,,,,,,,,,,,,
200617613,12,22,6/1/2006,6,1,2006,INDIAN POINT,39,,3,,1,1,1,,,,,,20.03,238,,0.11,,8.06,7.58,18.06,365,,0.18,,7.69,7.46,31,,,,,,,,,,,,
200617614,12,22,6/1/2006,6,1,2006,INDIAN POINT,39,,3,,1,1,1,,,,,,20.03,238,,0.11,,8.06,7.58,18.06,365,,0.18,,7.69,7.46,32.5,,,,,,,,,,,,
200617617,12,23,6/5/2006,6,5,2006,INDIAN POINT,42,1,3,,1,1,1,4,0,0,1,,20.17,271,,0.13,,8.11,7.71,18.72,2348,,1.23,,7.96,7.54,28,,,,,,,,,,,,
200617618,12,23,6/5/2006,6,5,2006,INDIAN POINT,42,1,3,,1,1,1,4,0,0,1,,20.17,271,,0.13,,8.11,7.71,18.72,2348,,1.23,,7.96,7.54,27.5,,,,,,,,,,,,
200617619,12,23,6/5/2006,6,5,2006,INDIAN POINT,42,1,3,,1,1,1,4,0,0,1,,20.17,271,,0.13,,8.11,7.71,18.72,2348,,1.23,,7.96,7.54,30,,,,,,,,,,,,
200617620,12,23,6/5/2006,6,5,2006,JONES POINT,43,3,3,,1,1,1,3,2,5,1,,18.98,233,,0.11,,7.66,7.95,18.42,232,,0.11,,7.04,7.72,69.5,,STARTING FLOOD BEFORE ALL REST,,,,,,,,,,
200617621,12,23,6/5/2006,6,5,2006,JONES POINT,43,3,3,,1,1,1,3,3,7,1,,18.51,224,,0.11,,8.81,7.88,18.07,220,,0.1,,8.44,7.65,50,,,,,,,,,,,,
